source_repo,source_commit,path,category,review_phase,priority,review_status,assimilation_decision,pqts_target,license_boundary,size_bytes,line_count,sha256,notes
freqtrade/freqtrade,e00a1fd28c03,freqtrade/enums/backteststate.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,239,16,cd4c140dc36564c2f1ffd95de69c994e0f1d98fb22e02dff2f7a669df7880639,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/ft_types/backtest_result_type.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1423,62,7908925ec16df94434dc9f65d779c98e806cdf1dd63dc4289c4f77c22dafdb62,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/__init__.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/__init__.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/base_analysis.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1849,64,e2f38708a0bc37f1fa2c322eb1bad344eae4b6b9093a641a88db0b21609cefdc,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/lookahead.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,12270,283,ec23a347e74f83b1f5a19b4bcbdfcdd473d02db92af4a50631b655bdf7d435ff,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/lookahead_helpers.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,11582,277,b8deedaf42988912348e55664e080cb559616d98e9d104816b006f5229cd1e08,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/recursive.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,9046,224,13a406443935ef229b6aa7b11e77cd285dec25596f22f97b75ea9a987c772b0d,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/analysis/recursive_helpers.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,4435,116,45559fa2f86c65fb7266463e3787859d08b762a0ea262b3a608e90aa25b6a192,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/backtest_caching.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1497,43,c4df81ed9ff785d20d73847942cec8f32b2aeb4e8b36e33a1fd11154eeb1078d,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/backtesting.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,79516,1908,3b9afdcf9a1df18b02edf5989bd5bdd808ea463522a63867afdd938e33af0b08,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/bt_progress.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,855,34,981a8ca83769e5dc39467c8bcb083ec61756a12385a34ac7e663bfb318c16aae,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/__init__.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,183,5,d4ddc2367514c23a8448a6d291e0f85ceb4ba14f38d6a4602c28928e2e776338,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,12807,322,873bae1d1c9f9acf390d6e8a4b0e2807973c35119cde255ea8aee8e8a5210466,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt_auto.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,3638,104,ea178d77c81c14a2ebb16345eb399e2c0e9f91f8a018cf5f081254233872ae1e,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt_interface.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,8622,217,3f4f96ae279cbe9bb480f93a58c8536406ffa56df9d02f9306b5c566fa7afe2c,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt_logger.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1427,45,701560962ddac5be763c9a9263024f8808f5394af029ae7f1325f36c6b19479e,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt_optimizer.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,19868,473,a2e805293e7c883d7028651e3ed77f015b2853cf6f8c0043f894ca8d395cfeab,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt/hyperopt_output.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,5619,143,704dd132900b63e24f4684fb2e1040ff9d5bc3882627f840eada0648e347487d,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_epoch_filters.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,4464,122,8c7a6cca188c657ff0973888483d278e476b58995d3cfe0817f5c5aef916e644,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_calmar.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,996,39,42edd49cb6f86344ee3e5e2e30dedd5d02845364673c579d6fbb5b0a00f5eb21,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_interface.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,934,39,b0d6d67cc322e4030c0a65c90630559bd951b9b76197625c80954c3bf9e2b4af,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_max_drawdown.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1239,45,21e4d32fc2dda16c2d2769ce0968441c92f24a9b5ab0a5193aeef979719a054a,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_max_drawdown_per_pair.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1931,59,31acbe272dbf63337694bb3dce1d46780fb30dc83e453e2f3462e5a23aafe1c8,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_max_drawdown_relative.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1382,43,aca9deb36120cd464ef222cab9149dad8b10f6f73c65b92f849e3de450ceee71,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_multi_metric.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,3887,104,e5d92e9bfc1eab053d4c83ad1055a65befdbb2db9143e4b56cad5483b6f51200,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_onlyprofit.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,716,26,87274c976f3c081025af57ef346bec523e608f2b9d25aa36fc8da8dfa1a9acd7,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_profit_drawdown.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1140,38,50192a266c57f979c785b22f350d448b586fd1c0d9c43347bd03466272ed9d68,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_sharpe.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,989,39,95b3bfdadaedbd9b3573d272b9bd1ea07b068aa85ee251bc4d6e5bbc2ab05b6b,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_sharpe_daily.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,2106,70,305c32bcfe0aaf8c9117e92e3a0d582b8a901148e3bf672709627b2d6c9720b4,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_short_trade_dur.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1950,57,fbc0b1cad7849f778b48a0ec770dc9de040867d9a73d139882322922ccf23b8f,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_sortino.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1003,39,22eed4e77ffb44586b962ae0779628146baa69bbc0583af6ca1bbe858e1be0e9,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_loss/hyperopt_loss_sortino_daily.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,2566,78,6a8d3b28afba4751a4b340102ba6c0cdf1ee1d850c9dc279255b0f70c6f855bc,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/hyperopt_tools.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,17182,448,a1da18bb29188cf636df5594037fdf593ac9f95f2b243012e93e0ae2fc19fe43,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/optimize_reports/__init__.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,862,27,042d2c3200beb22e6edcf7895c639665176eded1dea98713fe393d3f773bb617,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/optimize_reports/bt_output.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,23055,593,c8cdea89e6d8d79b687f8c45ba81a99532101b2613cf9cbb6c8a13d2c27ed9fb,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/optimize_reports/bt_storage.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6305,150,1188cb6d128fbeb8b20c7b735bb7de6f8235872030c9eae466f9fe3536f40e18,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/optimize_reports/optimize_reports.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,32187,830,e9033941993746c25bdc4e1cc7b5e16ec498a3a7de32457d6a92dbeb72fc0dfb,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/space/__init__.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,410,16,fa7aee9e2820a693d98108f8e789e752904d33fbbd480f07aa59e4c8354fb5d9,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/space/decimalspace.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1194,35,ab57a17e05e8f56e039521d6613c01958e427148e84234a3d01ccbb9287155d5,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/optimize/space/optunaspaces.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1504,59,9efa8a48af1a44265d9ad8b57a68b0bd446160401058ef090692fa5bede748df,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,freqtrade/rpc/api_server/api_backtest.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,14117,390,cf1097cc2e4acc37f22fdc886d200ab4d6d9ca14597a19851fd4063a1469ed14,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/freqai/test_freqai_backtesting.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,5723,167,4869564919de9544de9694cc4f8c20b9894699c2bbf50f745eb83f487eb178e5,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/optimize/test_backtest_detail.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,51503,1406,9bfc841da8ad2b85c58e542f3c8920b72fb236b117039336f4b98067a917c758,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/optimize/test_backtesting.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,104630,2818,99e9195695d92429453ef04aace384bcb0be347c9bd9808a6da2ef83ff561a76,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/optimize/test_backtesting_adjust_position.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,9504,228,cf9a0c8fb932137caad74b2aee6a473b433e3451c6cbad50329ccfa63c52d5e0,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/optimize/test_lookahead_analysis.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,17962,502,1adb74407306c89def23e41ce671772b6346738d8e130ce2af2c8c2862fcc0cd,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/optimize/test_recursive_analysis.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,6782,184,7b1bdcfd562b371939fc15244e9420c7184a0df3c52b557a8dc101eb0211c811,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/strategy/strats/lookahead_bias/strategy_test_v3_with_lookahead_bias.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1972,53,5e449f2a0fef9dddcdb0aa4d87c26290e6ac95897a3745d76654c6c6ae7d7a6e,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/strategy/strats/strategy_test_v3_recursive_issue.py,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,1584,45,ff273a3966df7f57a26683b4c7d397e18731c1308754e0523820e6b2bb7ce69b,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/backtest_results/.last_result.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,43,1,7185c77870394a00610d076343035428477c68eadc47a1c6a5eaf335d271f8e6,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/backtest_results/backtest-result.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,132375,1,2d067ed77338c9c44fe46a70c7976e20aa09cd033be0504dab7ee67e936ef34d,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/backtest_results/backtest-result.meta.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,138,6,4ee0840b522473f9c0f36d5410075b660118d849010e88f78200a021de1be987,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/backtest_results/backtest-result_multistrat.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,235499,1,ae17bf91805d93763860291c27da72596779fdf1b5348440ee04d62481fad937,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/backtest_results/backtest-result_multistrat.meta.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,271,10,f76b5a556fd30bd55c231fcf410fa5d6ba56433a088a7dbca8a1d3f8451410c2,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,tests/testdata/testconfigs/recursive.json,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,123,6,4d33a872cf4427b960b99bc73cc0f36a870782682887dfb8de5517e0f7e616c2,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,user_data/backtest_results/.gitkeep,backtesting_validation,P0,high,unreviewed,pending,src/research + scripts/run_real_money_validation.py,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,0,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,"Study validation, reporting, lookahead, and optimization workflow patterns."
freqtrade/freqtrade,e00a1fd28c03,CONTRIBUTING.md,repo_metadata,P0,high,unreviewed,pending,docs/assimilation + dependency policy,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,5808,137,ef5a6961517f0975262159c05f5e6ed50dab3aaa345d4f4e31e3cfa9fdb8d3b4,"Start here to understand scope, license, install surface, and config idioms."
freqtrade/freqtrade,e00a1fd28c03,LICENSE,repo_metadata,P0,high,unreviewed,pending,docs/assimilation + dependency policy,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,35141,674,589ed823e9a84c56feb95ac58e7cf384626b9cbf4fda2a907bc36e103de1bad2,"Start here to understand scope, license, install surface, and config idioms."
freqtrade/freqtrade,e00a1fd28c03,README.md,repo_metadata,P0,high,unreviewed,pending,docs/assimilation + dependency policy,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,12732,235,c2ce303e787ddb6914fdf8e61afc46d5b0ce94d8077bf9c2e005b6b4d949d26d,"Start here to understand scope, license, install surface, and config idioms."
freqtrade/freqtrade,e00a1fd28c03,config_examples/config_binance.example.json,repo_metadata,P0,high,unreviewed,pending,docs/assimilation + dependency policy,GPL-3.0 study-only: do not copy source into PQTS without explicit license decision.,2148,84,8fd5a4883b992c95baffaf89da8d57ad35122d522797b0582306ae3bee67b979,"Start here to understand scope, license, install surface, and config idioms."
